amenity,grid number,numbers,Latitude,Longitude
fast,89,3,56.46550794,-3.048950267
fast,115,2,56.45586041,-3.030989261
fast,287,9,56.47628904,-2.925316646
fast,343,4,56.47654787,-2.889914156
fast,397,24,56.46700032,-2.854290987
rapid,91,1,56.47630368,-3.048220488
rapid,143,1,56.45700611,-3.01229814
rapid,145,2,56.46680198,-3.012559086
rapid,148,1,56.48149574,-3.012950813
rapid,175,1,56.47674111,-2.995119803
rapid,205,1,56.48667781,-2.977671405
rapid,216,1,56.47205333,-2.968444032
rapid,242,3,56.46239425,-2.950500431
rapid,246,1,56.48198631,-2.95099076
rapid,249,2,56.49668031,-2.951358912
rapid,287,1,56.47728904,-2.924316646
rapid,328,1,56.47258603,-2.897649068
