grid number,amenity
75,fast
105,fast
105,fast
105,fast
105,fast
116,fast
116,fast
147,fast
147,fast
147,fast
147,fast
147,fast
233,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
249,fast
275,fast
286,fast
343,fast
343,fast
343,fast
343,fast
343,fast
343,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
382,fast
